known_count,unique_solution,puzzle_string,time_taken
29,False,---9---8-9----54----8------46--39-75---54--3--31-7-94---4-9-6----64-3-----9--8--4,0.17
29,False,3---69--------3----9-58--36-1--562--2-39--14-----1-9-3--96-1-2-----------21---69-,0.28
29,False,---64-5-------5-----3--7--88-9-7-6--63-9------47-1--8--98---7-6--------5-56--9813,0.33
29,False,----1-9-4-------82----72---7--9--2688---61-9-6--827-4---------9--17--82----2--41-,0.35
29,False,68-92------1----------1-92-71-8-6--9-2-159-8---8---6-1-6---21----------38----1-92,0.51
29,False,-1----42--6-4-------486--1--2---8----9--3---------61-428-1-4-696--2---41--968----,1.03
29,False,7-529-64--9------1-12----3--5-1-62-4-------6-1----2-9--7--2-916-----5--74-------2,1.06
29,False,1------85-------1--5-6-1----1-49-8-77-8-5----9651-----4--5----1--7--4---5-1-6--48,1.08
29,False,4-----382--68-------3-----5-3-24---82----------5387246---1--854-----8----814---6-,1.18
29,False,1--48--7----5-9-----2---5--46----8-55-8-----7-1-7-----8----6-4---1--47-894-8-56--,1.25
29,False,--4----3------2-----1349-7614-2---89----------834----77-8--45--492---------7--194,2.64
29,False,-4---21----24--9--71--3-245----235-13--6-5429-------3----2----4294-----------7---,2.67
29,False,314-6----8--342-5--5--8---31-5---2--9--5-841---3-----9------12---1------46--1-3--,2.70
29,False,37-8-9--54-62--3-----6-3------1--5-25---8----71-5----664-----5-82-------157-6----,2.71
29,False,58--2--612---1648-1-----2-3-2---4--8--1-8-9------5-14-8-2-----9-----1--4--5----1-,2.72
29,False,-7------8-6----9--3------7---37-4-6-1-7---49-6--1----7--4-8--16---96-3--73-41--2-,2.74
29,False,3----489-89--1---4--2--8---5--23---8-83-4---1---8-16--13-9-------9-8-----4-1---2-,2.75
29,False,38---2---1---378--76---1----1-37------7-8-----3---57--8-2--3--6---7-4-3---3-285--,2.85
29,False,-----43---97-5-1---35-----9--9537-------92---57-4---9------9-5-74---59-19--7-3---,2.86
29,False,-------------28-6---5--7--21--4-23-55826--4----41---2----2---5----8--2-32-3-5--46,2.89
29,False,5--------------98598-7--2--3---7--2---82-5--92----1-5-759-----1--3--75-2--25----8,2.98
29,False,--2-5---7-1---8----4-----5227------1----3472---4-2--------4---6623--5---4-7-1329-,3.05
29,False,23-894-------3--9--8-----3-----2--898-17-9---529-8-7---------2-493--2-----2-7--1-,3.09
29,False,--7641-3--4-938------72---94-----3-8--348----8-------4954----87---8-4--------7-9-,3.20
