known_count,unique_solution,puzzle_string,time_taken
30,False,-16---4-2534--6------4----63--56-7--6------8-1278--69-9-524---8-------4-4-----2--,0.11
30,False,--3---4---45-3----2-------5-28----9-397-58-46-5-9----3--9-76-1------5---43-8-1--9,0.22
30,False,----1-5764-68-9-2---76--4-8-3--2----7--9---8----3-7----62-5--4-5--79-----73-----1,0.24
30,False,-59---1--3---5--9--8149-65--6----9----5--9----9-5-741-23-91-5----------9-7-28----,0.34
30,False,9-4-375-6-826--9--5------1---8-6---56---4--29-------344-75---9------9-----912-4--,0.38
30,False,-86-1---7---7--1---71-5--4-----38-1----5-2---84--7-9-36-98--7-572---5-----8--7---,0.42
30,False,--5-67---6-7-------12-5-3--3-8-1---45--4----------59822-------9-54-9-73-79-----25,0.46
30,False,----62---8-1--3---6---4---1368----5-1--32---92-97---63---6---1-----15-46--6---9-7,0.52
30,False,9-1-7---828-6-9--7-------16-----8---8---5---43--7---8-653847-92------8----8---6-5,0.74
30,False,17--4-3------9------8--1--66--3--21-5219-4--8---1-2-4-8--75-4---6--1---2---62----,0.74
30,False,---5------98---2-5-3-6----4-7---5---65--1--9--8----5--317-54--9-2-1-6--88----915-,0.76
30,False,---2-6-9---------835-8-4176--13---47--3----21-27----5------87-971--6--8-8----3---,0.78
30,False,153--6--4--------66-243-----34-6--7-2---8--638--1-----3------4--9--1---7--6-5-931,0.79
30,False,-182---4-45-1---2-6-2574---28--------3-8-7-------2--------62--852---9----63-5--92,1.06
30,False,--6-5-7---1-743-9---469-2---4-87-3-----9-----1-74--9--8--1---5-6---2--8----38-6--,1.07
30,False,--14--6--7--1--8--9----------98--34--13--47--6-------1-8-5--17--657-2-8---7-8-2-4,1.12
30,False,7-9-5-------9---43---7----9---3-2-9---------4-43-9--1-871-69-32694----5-----849--,1.21
30,False,7-18-2--6-----6-3-------7-95-23-----16-2-9-4-----6--92874---9--9-----27--2---75--,1.24
