28,-------859-8--4------65823--2-4----859-1---26--------3-859---1------5---1---4-9-2
28,---49-------1---47--2-3-9------15-7-35---4-2--7-----58------3--491-83--5--3--72--
28,-3--861-9981---6----7----3-4-3-----279---8------31---71--6--4----65----------7-16
28,-5-8----178--4-3-6-------8-1--5----3--5--3698--79--5-----69---5--6----7-9---5-4--
28,-----17--96----3----5---2-9---8-7---4--6--9-7-----98613812-6----7--4-6------9---2
28,5-6--3---12----5--9--7---2--7-----85----5-9-6---6-7-1---8-7-26---1----3---38---51
28,----------13---9---472----37-46-93------34----3-1-7-8---89-2-----5--1-7--9---3-65
28,--71--3------3---2-357-4----------67-9--78-1-6----24---124-5----5----7-8-----715-
28,----2--4334-9--7---58-----------6-5--37---1------5-92---5---2---63592-7--8-1----9
28,-----834---8--2--14---7--8-1-78-----9------56----24---731---92--9--5-4--2-4--7---
28,184----2--3---75-----3-8----5--6-71--6----89---87-----------9--8-31-46-26-9-----3
28,4125--3-9--58--1--3--19-4--9--4-----2----9----8-----6-7---1-82----2-8------97--1-
28,---2----3---93----7391-4-6-----9--3-975---4-------2--98--3-62----7----5--9-72-6--
28,---5--98-83---4--715--974---9--5-31---69------1-----7--73-------4-1---------4-865
28,-----568-8-6-1-2-4-32-----7------7---8--2-4-----7----5--7--3-2835-----79--85-1---
28,---7----9-6-----1-9---42-785---------7-6-498---29731---9--2-75---1-------2---9--6
