25,--679---2---------53----6----4-----3--7-251-6--2-7--9-------3--7-5--6-4----952---,simple
24,--57-4--6-431--------9----86----9--5-3-67-1---7--8-3--3-----5--8----1----9-------,simple
24,-1-5---3--95-2-8-7--3----1---------27--6-1----547--1---6-----2-----7------7-9---5,simple
24,----492--24--1----5-------8--7---45----3---7-9----2-3-----2---5-1--35----3-47----,simple
24,----492--24--1----5-------8--7---45----3---7-9----2-3-----2---5-1--35----3-47----,simple
24,-4----3-1---2---9--236------5--7-------3--1--9-4--5-6---6-----9--29---7------46-5,simple
24,6--7--34--8-------7-265----------42--53-4--------1---9---9-7---4-------89----873-,simple
24,---9--8-------3-1--2-8-1--5--95-2-3-5--71------1--8---87----------14-2----3-----9,simple
24,----1--3-----8-----3-4--5---7-6---1----8-947-----3--5--5-74-1--1-----8--94-3-----,simple
24,----1--3-----8-----3-4--5---7-6---1----8-947-----3--5--5-74-1--1-----8--94-3-----,simple
24,----7----5---4------6-83--2---------7-----89-1-25--6--8-9-5--1--------6-2-37-9--4,simple
24,----1--3-----8-----3-4--5---7-6---1----8-947-----3--5--5-74-1--1-----8--94-3-----,simple
24,-3-58--4-6----9--7----1--852-------3497-----------197------4-28----6--5---3------,simple
24,--5----3--2--34-1--7--5-----1-7-9-5---4---1---------9-------8--73-5-1--2--2-8--6-,simple
24,-----------8----6-53--89-2-92------77---953--4-57----6-7-4-------------52-98-----,simple
24,-----6---95------78---17--96-----8---29---15---4-7--6-------4---1-4-85-----2----8,simple
23,-19------2--3--7--8--61---55----8----------39--3-7-----9----1----6-2-598----8----,simple
23,-19------2--3--7--8--61---55----8----------39--3-7-----9----1----6-2-598----8----,simple
23,--43-------5--4------6-8-3--8--7----1------57---1-26--------7---364-5-8------6--4,simple
23,--43-------5--4------6-8-3--8--7----1------57---1-26--------7---364-5-8------6--4,simple
23,-135-4-8-7---6------61-------48-5----5-3--6--------1-----4-------72-----3----8-75,simple
23,-135-4-8-7---6------61-------48-5----5-3--6--------1-----4-------72-----3----8-75,simple
