25,----1---714-69---2----8-----2---8--55----9-4--9--4------2---6------2-89--86--72--
24,--57-4--6-431--------9----86----9--5-3-67-1---7--8-3--3-----5--8----1----9-------
25,--679---2---------53----6----4-----3--7-251-6--2-7--9-------3--7-5--6-4----952---
24,-1-5---3--95-2-8-7--3----1---------27--6-1----547--1---6-----2-----7------7-9---5
24,----492--24--1----5-------8--7---45----3---7-9----2-3-----2---5-1--35----3-47----
24,----492--24--1----5-------8--7---45----3---7-9----2-3-----2---5-1--35----3-47----
24,-4----3-1---2---9--236------5--7-------3--1--9-4--5-6---6-----9--29---7------46-5
24,6--7--34--8-------7-265----------42--53-4--------1---9---9-7---4-------89----873-
23,-19------2--3--7--8--61---55----8----------39--3-7-----9----1----6-2-598----8----
24,---9--8-------3-1--2-8-1--5--95-2-3-5--71------1--8---87----------14-2----3-----9
23,-19------2--3--7--8--61---55----8----------39--3-7-----9----1----6-2-598----8----
23,--43-------5--4------6-8-3--8--7----1------57---1-26--------7---364-5-8------6--4
23,--43-------5--4------6-8-3--8--7----1------57---1-26--------7---364-5-8------6--4
23,----2-597-4--9----------81---45---6------42-5-3-8------1-----8---36-----92----1--
23,-135-4-8-7---6------61-------48-5----5-3--6--------1-----4-------72-----3----8-75
23,-135-4-8-7---6------61-------48-5----5-3--6--------1-----4-------72-----3----8-75
24,-----491--261-------8--------7----3----4---6-----7-5--56--27----735-9-----1--3--9
24,----1--3-----8-----3-4--5---7-6---1----8-947-----3--5--5-74-1--1-----8--94-3-----
24,----1--3-----8-----3-4--5---7-6---1----8-947-----3--5--5-74-1--1-----8--94-3-----
24,----7----5---4------6-83--2---------7-----89-1-25--6--8-9-5--1--------6-2-37-9--4
24,----1--3-----8-----3-4--5---7-6---1----8-947-----3--5--5-74-1--1-----8--94-3-----
24,6---2498----3---2-5---8--41-----2-18--------6-9---8--4--4--------3--------7-5-1-3
23,----8--7----5---2-37----69---7-43----1------64---------8-9-------3--45---4-1-63--
23,-4------------9-1---2----8-------973-832----4---41------638---2----6-----71--4-6-
23,3-7-5---6-9--2--5----6-----4--------159-7---------12-8--3----61-4-1----5----8----
23,--3--596----6-8-----7----4----75----5------9662------329-3--------4-----4----1--2
23,19----5----3-6--2----9------16---27----27--5-3------1----8-96----2--38------1----
23,--25---4-6-------7-5--78-----185-----4-1-----5---2-----------2---8-1-6---1-4-35--
22,---86------51---4-9------23--6---4-53---24-------9--1----54-8--6---1-----2-------
21,--------88--63---7-5-1-----68---------15--49------4-3-74--------------7-----29-6-
23,79--1--86-4-5--9---------------7-84------82---17-5---------71--9----------249---5
23,19----5----3-6--2----9------16---27----27--5-3------1----8-96----2--38------1----
23,--9-2----61--9--8--7--8---37---49--------7--6-3-6--4--4-5---62-8-----------8-----
23,--8-76-------4-6-----8-1--93--4---2-74-----8----2--3----1---4----7----1-9--3-2---
23,--43-------5--4------6-8-3--8--7----1------57---1-26--------7---364-5-8------6--4
23,--8-97-----95--7-2----4-----3-2-85--8---5----2-7--36---7-----23-----------6----9-
23,--8-97-----95--7-2----4-----3-2-85--8---5----2-7--36---7-----23-----------6----9-
24,-12---5--6--8-------5---6--8----3-7-----8-1------97-8--5-4-----1-83--9-5-----6--3
24,9----4--8---8---9---------5-----3-1--3----6--4-798----3-2-7----84--5-----7--2-54-
24,-3-58--4-6----9--7----1--852-------3497-----------197------4-28----6--5---3------
21,--------88--63---7-5-1-----68---------15--49------4-3-74--------------7-----29-6-
24,--5----3--2--34-1--7--5-----1-7-9-5---4---1---------9-------8--73-5-1--2--2-8--6-
22,---3-42---1-9----------179-4----9---3--1--5----52---8---9-8---3-------162--------
24,--65-----5-----3-2----2-1-------7--4374-8-5--8--2--9--7-----4-----39-----2-7---3-
23,-----3---6-3--7------6-5-----1---3-55-------9-671--4---8--9--56---------14-7---3-
24,-----------8----6-53--89-2-92------77---953--4-57----6-7-4-------------52-98-----
22,---3-42---1-9----------179-4----9---3--1--5----52---8---9-8---3-------162--------
24,-----6---95------78---17--96-----8---29---15---4-7--6-------4---1-4-85-----2----8
24,--1------7-------945--87-----61-5-----5-28----8-7-93--5-----62---------1---46--8-
23,--2-------6----3----16--2-4---4-5-2--7------96-58----------8--62---31-7-4------5-
23,---5------49---1--3-597---------2-------8-39---1---47--8------16---43-----3-5-6--
23,9--1-4-2---123--4-5------------4-----9---32---7-----59-----95-8----6----7-4---1--
23,-7-----8----3----26-9--47------6------3----1-2-5-----4--7-----3----8-9-6---143-5-
23,-7-----8----3----26-9--47------6------3----1-2-5-----4--7-----3----8-9-6---143-5-
23,---1---4-8-9-6-5--2-----------8--9--7----2----3---6--------3-94-8---73-6-27-----8
23,8--6-1-7--4----6------7--386--94-----7------2-----5----9---4--37--1--4-------65--
23,---1---4-8-9-6-5--2-----------8--9--7----2----3---6--------3-94-8---73-6-27-----8
23,--2----7-61------9----3-85---5--2--------6--3-2-71-6--4-68--9-----------8--3--4--
